Items,Parameter #1,Parameter #2,Parameter #3,Parameter #4,Parameter #5,Parameter #8,Parameter #9
Item 1,Value 1.1,Value 2.1,Value 3.1,Value 4.1,Value 5.2,1,2
Item 2,Value 1.2,Value 2.3,Value 3.3,Value 4.1,Value 5.2,2,5
Item 3,Value 1.3,Value 2.2,Value 3.2,Value 4.1,Value 5.1,3,8
Item 4,Value 1.1,Value 2.1,Value 3.1,Value 4.3,Value 5.1,4,11
Item 5,Value 1.2,Value 2.2,Value 3.2,Value 4.1,Value 5.2,5,NA
Item 6,Value 1.3,Value 2.3,Value 3.3,Value 4.2,Value 5.4,6,17
Item 7,Value 1.1,Value 2.1,Value 3.1,Value 4.2,Value 5.4,NA,20
Item 8,Value 1.2,Value 2.4,Value 3.4,Value 4.1,Value 5.2,8,23
Item 9,Value 1.3,Value 2.1,Value 3.1,Value 4.2,Value 5.3,9,NA
Item 10,Value 1.1,Value 2.3,Value 3.3,Value 4.1,Value 5.1,NA,NA
Item 11,Value 1.2,Value 2.4,Value 3.4,Value 4.3,Value 5.3,NA,NA
Item 12,Value 1.3,Value 2.4,Value 3.4,Value 4.3,Value 5.5,12,NA
Item 13,Value 1.1,Value 2.1,Value 3.1,Value 4.2,Value 5.3,13,NA
Item 14,Value 1.2,Value 2.3,Value 3.3,Value 4.3,Value 5.3,14,NA
Item 15,Value 1.3,Value 2.2,Value 3.2,Value 4.1,Value 5.5,NA,NA
Item 16,Value 1.1,Value 2.3,Value 3.3,Value 4.2,Value 5.4,16,NA
Item 17,Value 1.2,Value 2.4,Value 3.4,Value 4.3,Value 5.3,17,NA
Item 18,Value 1.3,Value 2.3,Value 3.3,Value 4.3,Value 5.5,18,NA
